12173: Ready Index (10-Tab),3,0.875,0,0.125,10,1,8.5,11,0.625,5,0.5,0.5
12221: Index Tab 1",2,0.34,0,0,15,1,8.5,11,0.5,1,4.375,1
15160: Address Labels,2.625,1,0.125,0,10,3,8.5,11,0.5,0.1875,0.5,0.1875
15162: Address Labels,4,1.3333,0.1875,0,7,2,8.5,11,0.8333,0.156,0.8333,0.156
15163: Shipping Labels,4,2,0.16,0,5,2,8.5,11,0.5,0.17,0.5,0.17
15167: Return Address Labels,1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
15267: Return Address Labels,1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
15660: Address Labels,2.75,1,0.063,0,10,3,8.5,11,0.5,0.062,0.5,0.062
15662: Address Labels,4.125,1.333,0.084,0,7,2,8.5,11,0.835,0.083,0.835,0.083
16219: Index Tab 1",2,0.34,0,0,15,1,8.5,11,0.5,1,4.375,1
16228: Index Tab 1 1/2",3,0.34,0,0,15,1,8.5,11,0.5,0.5,4.375,0.5
16230: Index Tab 1 1/2",3,0.34,0,0,15,1,8.5,11,0.5,0.5,4.375,0.5
16239: Index Tab 2",4,0.34,0,0,15,1,8.5,11,0.5,0.125,4.375,0.125
16241: Index Tab 2",4,0.34,0,0,15,1,8.5,11,0.5,0.125,4.375,0.125
18160: Address Labels,2.625,1,0.125,0,10,3,8.5,11,0.5,0.1875,0.5,0.1875
18161: Address Labels,4,1,0.188,0,10,2,8.5,11,0.5,0.156,0.5,0.156
18162: Address Labels,4,1.3333,0.1875,0,7,2,8.5,11,0.8333,0.156,0.8333,0.156
18163: Address/Shipping,4,2,0.16,0,5,2,8.5,11,0.5,0.17,0.5,0.17
18167: Return Address Labels,1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
18660: Address Labels,2.625,1,0.125,0,10,3,8.5,11,0.5,0.1875,0.5,0.1875
18662: Address Labels,4,1.3333,0.1875,0,7,2,8.5,11,0.8333,0.156,0.8333,0.156
18663: Address/Shipping,4,2,0.16,0,5,2,8.5,11,0.5,0.17,0.5,0.17
18667: Address Labels,1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
23280: Insertable (5-Tab),2,0.5,0,0,18,2,8.5,11,1,2.25,1,2.25
23280: Insertable (5-Tab),2,0.3331,0,0,26,2,8.5,11,1.17,2.25,1.1694,2.25
23281: Insertable (5-Tab),2,0.5,0,0,18,2,8.5,11,1,2.25,1,2.25
23281: Insertable (5-Tab),2,0.3331,0,0,26,2,8.5,11,1.17,2.25,1.1694,2.25
23284: Insertable (8-Tab),1.5,0.5,0,0,20,2,8.5,11,0.5,2.75,0.5,2.75
23285: Insertable (8-Tab),1.5,0.5,0,0,20,2,8.5,11,0.5,2.75,0.5,2.75
25160: Multi-Purpose 30 Up,2.625,1,0.125,0,10,3,8.5,11,0.5,0.1875,0.5,0.1875
25371: Business Cards,3.5,2,0,0,5,2,8.5,11,0.5,0.75,0.5,0.75
26550: Business Cards,3.5,2,0,0,5,2,8.5,11,0.5,0.75,0.5,0.75
26551: Business Cards,3.5,2,0,0,5,2,8.5,11,0.5,0.75,0.5,0.75
27871: Business Cards,3.5,2,0,0,5,2,8.5,11,0.5,0.75,0.5,0.75
27881: Business Cards,3.5,2,0,0,5,2,8.5,11,0.5,0.75,0.5,0.75
27882: Business Cards,3.5,2,0,0,5,2,8.5,11,0.5,0.75,0.5,0.75
28371: Business Cards,3.5,2,0,0,5,2,8.5,11,0.5,0.75,0.5,0.75
28877: Business Cards,3.5,2,0,0,5,2,8.5,11,0.5,0.75,0.5,0.75
3110: Kids Rect.  Stickers,2.375,1.25,0.3125,0.25,6,3,8.5,11,1.125,0.375,1.125,0.375
3111: Kids Square Stickers,2.5,2.5,0.1875,0.5,3,3,8.5,11,1.25,0.3125,1.25,0.3125
3112: Kids Sm. Round Stickers,1.5,1.5,0.5,0.5,5,4,8.5,11,0.75,0.5,0.75,0.5
3113: Kids Big Round Stickers,2.5,2.5,0.1875,0.5,3,3,8.5,11,1.25,0.3125,1.25,0.3125
3116: Kids Heart Stickers,1.5,1.375,0.5,0.625,5,4,8.5,11,0.875,0.5,0.75,0.5
